t,frame,detected,x,y,z,t_grab,t_total,p,t_search,t_approx,t_refine,t_estimate
468,0,1,-0.427049,-16.5513,200.662,146,321,90,183,3,0,5
1254,1,1,-1.71006,-16.8833,200.693,310,433,193,195,1,0,4
1957,2,1,-2.1293,-19.8321,200.287,159,536,90,350,1,1,8
2462,3,1,-2.39346,-17.3633,200.568,179,319,90,184,1,0,3
3185,4,1,-1.14226,-18.8476,200.35,234,480,192,243,2,0,4
3781,5,1,-0.942843,-19.0033,200.352,151,438,91,251,7,0,8
4388,6,1,-1.45657,-18.5279,200.445,275,323,90,184,1,0,8
5087,7,0,-1.45657,-18.5279,200.445,148,544,175,332,0,0,0
6279,8,1,-2.36802,-20.2757,200.381,339,332,103,183,2,1,3
6978,9,1,0.688457,-14.8773,201.147,151,541,90,347,6,0,14
7472,10,1,-2.08135,-17.0888,202.067,170,319,89,183,1,0,5
8200,11,1,-13.2098,-19.9965,203.134,247,474,189,236,2,0,6
8816,12,1,-21.5395,-20.147,201.987,154,449,90,267,6,0,8
9412,13,1,-46.4305,-21.9993,196.705,266,324,90,185,2,1,5
10136,14,1,-53.6624,-14.2802,197.519,169,546,192,305,2,0,6
10692,15,1,-70.2323,-16.5429,196.741,156,389,90,200,6,1,9
11355,16,1,-78.465,-19.1787,196.745,336,321,90,186,2,0,4
12083,17,1,-88.7207,-20.3583,195.096,159,561,146,368,2,0,6
12563,18,1,-98.4459,-18.9121,194.52,155,318,89,183,1,0,3
13286,19,1,-105.534,-18.6227,192.525,331,382,155,183,2,0,3
13987,20,1,-107.375,-19.2675,191.888,154,539,90,353,4,0,6
14480,21,1,-109.115,-18.7771,191.564,167,318,89,184,2,0,4
15206,22,1,-112.701,-19.6248,190.138,251,467,189,233,1,0,4
15820,23,1,-114.668,-19.4967,189.653,153,449,90,269,6,0,10
16391,24,0,-114.668,-19.4967,189.653,258,307,90,180,0,0,0
17087,25,0,-114.668,-19.4967,189.653,149,543,162,345,0,0,0
17564,26,1,-126.612,-18.3331,184.916,156,320,89,184,1,0,5
18292,27,1,-132.186,-20.3431,181.453,343,377,150,182,1,0,3
18997,28,1,-130.778,-19.3915,182.523,153,541,89,357,3,0,7
19497,29,1,-133.211,-20.0118,174.662,172,324,89,187,2,0,6
20232,30,1,-127.271,-19.3103,164.784,272,454,191,215,2,0,5
20901,31,1,-123.392,-18.2506,160.053,158,500,90,302,2,0,16
21443,32,1,-121.672,-16.3921,151.938,216,319,90,182,2,0,3
22172,33,1,-116.629,-15.1024,149.516,205,516,186,283,2,0,3
