frame,detected,x,y,z,t_grab,t_total,t_prepare,t_search,t_approx,t_refine,t_estimate
94,1,-111.66,-16.4169,82.5731,17,6,2,4,0,0,0
95,0,-111.66,-16.4169,82.5731,18,5,2,3,0,0,0
96,0,-111.66,-16.4169,82.5731,20,4,2,2,0,0,0
97,0,-111.66,-16.4169,82.5731,18,5,2,3,0,0,0
98,0,-111.66,-16.4169,82.5731,18,4,1,3,0,0,0
99,0,-111.66,-16.4169,82.5731,18,5,2,3,0,0,0
100,0,-111.66,-16.4169,82.5731,21,6,2,4,0,0,0
101,0,-111.66,-16.4169,82.5731,17,5,2,3,0,0,0
102,0,-111.66,-16.4169,82.5731,17,8,3,5,0,0,0
103,0,-111.66,-16.4169,82.5731,20,4,2,2,0,0,0
104,1,-161.88,-17.7201,123.801,18,6,2,4,0,0,0
105,1,-160.93,-18.4116,143.524,25,14,2,11,0,0,1
106,0,-160.93,-18.4116,143.524,38,11,7,4,0,0,0
107,0,-160.93,-18.4116,143.524,44,10,4,6,0,0,0
108,0,-160.93,-18.4116,143.524,29,6,3,3,0,0,0
109,0,-160.93,-18.4116,143.524,17,6,2,4,0,0,0
110,0,-160.93,-18.4116,143.524,26,7,3,4,0,0,0
111,0,-160.93,-18.4116,143.524,21,5,3,2,0,0,0
112,1,-134.906,-18.4893,174.214,19,6,3,2,0,0,1
113,1,-126.138,-6.69765,176.523,17,4,2,2,0,0,0
114,1,-106.936,-15.7438,181.775,18,5,2,2,0,1,0
115,1,-94.7296,-16.3256,184.372,17,4,2,2,0,0,0
116,1,-78.8826,-19.9963,188.354,17,5,2,3,0,0,0
117,1,-68.4029,-20.6537,189.526,16,4,2,2,0,0,0
118,1,-50.2737,0.446381,194.613,17,4,1,3,0,0,0
119,1,-47.1933,-20.508,188.891,17,4,2,2,0,0,0
120,1,-28.4989,-18.9597,189.979,26,5,2,3,0,0,0
121,1,-25.4476,-5.43299,190.989,17,7,2,4,0,0,1
122,1,-2.03731,-16.7037,189.724,17,8,2,4,1,0,1
123,1,2.18978,-20.2582,189.928,19,4,1,3,0,0,0
124,1,9.26738,-15.9862,189.333,16,7,3,4,0,0,0
125,1,28.185,18.1324,186.673,22,5,2,3,0,0,0
126,1,34.8255,-20.3357,185.665,18,7,3,3,0,0,1
127,1,44.7316,-16.4549,185.049,17,5,2,3,0,0,0
128,1,56.621,-15.0594,184.003,19,5,2,3,0,0,0
129,1,69.1316,-17.6963,183.273,18,7,4,3,0,0,0
130,1,91.4366,-40.7134,169.837,16,6,2,3,0,0,1
131,1,94.5893,-13.7256,180.28,21,5,2,3,0,0,0
132,1,105.145,-15.9733,180.483,16,5,3,2,0,0,0
133,0,105.145,-15.9733,180.483,17,5,2,3,0,0,0
134,1,126.633,-18.3815,179.412,17,5,2,3,0,0,0
135,0,126.633,-18.3815,179.412,16,5,2,3,0,0,0
136,0,126.633,-18.3815,179.412,17,5,2,3,0,0,0
137,0,126.633,-18.3815,179.412,17,5,1,4,0,0,0
138,1,161.905,-19.1366,172.652,18,6,3,3,0,0,0
139,0,161.905,-19.1366,172.652,19,5,2,3,0,0,0
140,0,161.905,-19.1366,172.652,16,5,2,3,0,0,0
141,0,161.905,-19.1366,172.652,17,4,2,2,0,0,0
142,0,161.905,-19.1366,172.652,16,4,2,2,0,0,0
143,0,161.905,-19.1366,172.652,17,4,2,2,0,0,0
144,0,161.905,-19.1366,172.652,19,5,2,3,0,0,0
145,1,205.999,-22.0674,175.375,16,7,3,3,0,1,0
146,0,205.999,-22.0674,175.375,18,5,2,3,0,0,0
147,0,205.999,-22.0674,175.375,17,4,2,2,0,0,0
148,1,202.949,-21.7247,190.216,16,5,2,3,0,0,0
149,1,198.733,-22.0202,188.717,16,17,3,14,0,0,0
