t,frame,detected,x,y,z,t_grab,t_total,p,t_search,t_approx,t_refine,t_estimate
218,0,1,-0.427846,-16.5506,200.662,146,71,41,17,1,0,5
473,1,1,-1.7136,-16.8844,200.693,149,68,40,16,0,0,3
870,2,1,-2.13082,-19.8321,200.287,247,144,83,34,1,0,8
1153,3,1,-2.39624,-17.3617,200.568,208,67,40,16,0,0,3
1370,4,1,-1.14249,-18.846,200.35,144,67,39,17,1,0,3
1588,5,1,-0.94313,-19.0009,200.352,143,67,40,16,0,0,4
1808,6,1,-1.45578,-18.5293,200.445,143,71,40,16,1,0,7
2016,7,0,-1.45578,-18.5293,200.445,141,59,39,16,0,0,0
2231,8,1,-2.36926,-20.2752,200.381,147,67,39,17,0,0,3
2449,9,1,0.689876,-14.8768,201.147,143,68,39,16,1,0,6
2812,10,1,-2.08188,-17.0891,202.067,210,144,85,33,1,0,11
3132,11,1,-13.2103,-19.996,203.134,247,70,40,16,0,0,6
3352,12,1,-21.5385,-20.1473,201.987,146,66,39,16,0,0,3
3568,13,0,-21.5385,-20.1473,201.987,149,60,40,16,0,0,0
3785,14,1,-53.6661,-14.2785,197.518,145,70,40,16,1,0,7
3999,15,0,-53.6661,-14.2785,197.518,148,60,39,16,0,0,0
4211,16,0,-53.6661,-14.2785,197.518,150,60,39,16,0,0,0
4422,17,0,-53.6661,-14.2785,197.518,150,60,39,17,0,0,0
4720,18,0,-53.6661,-14.2785,197.518,170,127,84,35,0,0,0
5078,19,0,-53.6661,-14.2785,197.518,297,60,39,16,0,0,0
5286,20,0,-53.6661,-14.2785,197.518,146,60,39,17,0,0,0
5491,21,0,-53.6661,-14.2785,197.518,144,60,40,16,0,0,0
5698,22,0,-53.6661,-14.2785,197.518,146,60,40,16,0,0,0
5904,23,0,-53.6661,-14.2785,197.518,145,60,40,16,0,0,0
7142,24,0,-53.6661,-14.2785,197.518,144,60,40,15,0,0,0
7345,25,0,-53.6661,-14.2785,197.518,142,59,39,16,0,0,0
7553,26,0,-53.6661,-14.2785,197.518,147,61,40,16,0,0,0
7762,27,0,-53.6661,-14.2785,197.518,148,60,40,16,0,0,0
7970,28,0,-53.6661,-14.2785,197.518,146,60,39,17,0,0,0
8180,29,0,-53.6661,-14.2785,197.518,149,61,40,16,0,0,0
8390,30,0,-53.6661,-14.2785,197.518,148,60,40,16,0,0,0
8655,31,0,-53.6661,-14.2785,197.518,149,115,70,33,0,0,0
9053,32,0,-53.6661,-14.2785,197.518,325,72,51,17,0,0,0
9263,33,0,-53.6661,-14.2785,197.518,149,60,40,16,0,0,0
9479,34,1,-101.571,-18.5704,147.865,148,67,40,16,1,0,3
9697,35,1,-88.9105,-19.5124,151.488,144,67,39,16,0,0,3
9917,36,1,-79.1092,-19.0933,153.573,147,67,39,17,1,0,3
10139,37,1,-68.0255,-19.0471,153.335,147,67,40,16,1,0,4
10361,38,1,-54.6815,-19.482,152.747,147,67,39,17,1,0,4
10612,39,1,-42.9373,-14.352,152.628,146,99,40,35,1,0,8
11045,40,1,-32.0343,-16.648,152.062,326,103,74,17,0,0,3
13011,41,1,-25.5112,-18.1969,151.222,311,68,40,17,1,0,3
