t,frame,detected,x,y,z,t_grab,t_total,p,t_search,t_approx,t_refine,t_estimate
477,0,1,-0.42763,-16.5513,200.662,323,153,87,46,2,0,5
769,1,1,-1.70929,-16.885,200.693,149,104,40,47,1,0,3
1130,2,1,-2.12949,-19.8331,200.287,145,209,71,97,1,4,3
1519,3,1,-2.39388,-17.3626,200.568,282,103,39,47,1,0,3
1773,4,1,-1.14177,-18.8474,200.35,143,104,40,47,1,0,3
2131,5,1,-0.944251,-19.0011,200.352,144,205,71,101,1,0,7
2526,6,1,-1.45619,-18.5282,200.445,282,109,42,46,1,0,6
2770,7,0,-1.45619,-18.5282,200.445,141,96,40,46,0,0,0
3117,8,1,-2.36886,-20.2748,200.381,145,201,66,96,5,0,8
3514,9,1,0.688997,-14.8774,201.147,279,105,40,46,1,0,5
3770,10,1,-2.0812,-17.0876,202.067,145,105,40,46,0,0,5
4135,11,1,-13.209,-19.9945,203.134,144,210,70,96,1,0,11
4527,12,1,-21.5385,-20.1476,201.987,286,104,40,46,1,0,3
4789,13,1,-46.4271,-22.0029,196.706,148,106,39,47,1,0,5
5172,14,1,-53.6628,-14.2791,197.519,148,228,87,95,0,0,15
5546,15,1,-70.2325,-16.5433,196.74,266,103,40,46,1,0,3
5806,16,1,-78.4648,-19.1788,196.745,148,104,40,47,0,0,3
6221,17,1,-88.72,-20.3585,195.096,184,223,79,102,3,0,15
6568,18,1,-98.4459,-18.9133,194.52,236,104,40,46,1,0,3
6822,19,1,-105.534,-18.6227,192.525,144,103,40,46,0,0,3
7237,20,1,-107.376,-19.2677,191.888,191,218,83,96,1,0,8
7573,21,1,-109.114,-18.7775,191.564,227,103,39,47,1,0,4
7827,22,1,-112.696,-19.6276,190.143,143,104,40,47,1,0,4
8246,23,1,-114.669,-19.4971,189.653,194,218,85,92,3,0,9
8568,24,0,-114.669,-19.4971,189.653,215,96,40,46,0,0,0
8807,25,0,-114.669,-19.4971,189.653,141,96,41,45,0,0,0
9197,26,1,-126.612,-18.3332,184.916,165,224,85,96,5,0,7
9554,27,1,-132.187,-20.3431,181.452,250,103,40,46,1,1,2
9810,28,1,-130.778,-19.3915,182.523,146,104,40,46,1,0,3
10201,29,0,-130.778,-19.3915,182.523,179,205,86,96,0,0,0
10561,30,1,-127.27,-19.3103,164.784,252,107,40,47,1,0,5
10813,31,0,-127.27,-19.3103,164.784,148,97,40,47,0,0,0
11202,32,1,-121.672,-16.3921,151.938,169,218,83,97,1,0,8
11562,33,1,-116.629,-15.1022,149.516,251,105,40,47,1,0,3
11821,34,1,-101.572,-18.5707,147.864,147,104,40,46,1,1,2
12226,35,1,-88.911,-19.5114,151.488,181,218,81,97,5,0,10
12574,36,1,-79.1089,-19.0933,153.573,238,104,40,47,1,0,3
12832,37,1,-68.0251,-19.0469,153.335,147,104,40,47,1,0,4
13263,38,1,-54.6812,-19.4825,152.748,202,223,84,101,1,0,10
13590,39,1,-42.9376,-14.3517,152.628,213,105,40,47,0,0,3
13849,40,1,-32.0345,-16.6477,152.062,147,105,40,47,0,0,3
14302,41,1,-25.5111,-18.1969,151.222,223,218,80,104,3,0,5
14602,42,1,-18.403,-18.1697,151.305,192,105,40,46,1,1,3
14864,43,1,-11.9761,-18.6888,150.616,150,105,40,47,1,0,4
15347,44,1,-12.5917,-17.6092,150.083,243,233,80,101,1,0,16
15627,45,1,-7.50922,-18.3789,149.075,171,106,40,47,1,0,4
15882,46,1,0.428567,-18.6618,148.219,144,104,40,47,1,0,3
16378,47,1,7.70492,-19.4531,147.749,262,227,83,102,4,0,8
16636,48,1,16.1773,-18.538,146.679,150,105,40,47,1,0,3
16898,49,1,28.4071,-17.8008,145.105,146,108,40,47,1,0,7
17404,50,1,36.541,-17.9397,143.249,276,223,87,99,1,0,6
17661,51,1,46.5623,-16.7726,143.207,144,106,40,46,1,0,7
17918,52,1,56.6835,-15.1154,142.284,144,106,40,46,1,0,5
18416,53,1,65.4297,-16.782,139.974,297,194,87,89,1,0,4
18677,54,1,78.0205,-14.3166,138.608,145,105,40,46,1,0,3
18934,55,1,88.0313,-18.615,137.263,143,106,39,46,1,0,6
19430,56,0,88.0313,-18.615,137.263,319,170,83,77,0,0,0
19675,57,0,88.0313,-18.615,137.263,148,96,40,46,0,0,0
19918,58,0,88.0313,-18.615,137.263,146,96,40,46,0,0,0
20406,59,0,88.0313,-18.615,137.263,293,195,83,101,0,0,0
20650,60,0,88.0313,-18.615,137.263,146,96,40,46,0,0,0
20894,61,0,88.0313,-18.615,137.263,147,97,40,46,0,0,0
21367,62,0,88.0313,-18.615,137.263,266,205,84,99,0,0,0
21625,63,0,88.0313,-18.615,137.263,161,94,39,45,0,0,0
21870,64,0,88.0313,-18.615,137.263,148,95,39,46,0,0,0
22306,65,0,88.0313,-18.615,137.263,236,200,82,96,0,0,0
22601,66,0,88.0313,-18.615,137.263,194,97,41,46,0,0,0
22844,67,0,88.0313,-18.615,137.263,147,95,40,45,0,0,0
23254,68,0,88.0313,-18.615,137.263,204,202,82,97,0,0,0
23573,69,0,88.0313,-18.615,137.263,223,96,40,45,0,0,0
23825,70,0,88.0313,-18.615,137.263,149,96,40,46,0,0,0
24202,71,0,88.0313,-18.615,137.263,176,196,81,96,0,0,0
24554,72,0,88.0313,-18.615,137.263,255,97,40,46,0,0,0
24800,73,0,88.0313,-18.615,137.263,148,96,40,46,0,0,0
25148,74,0,88.0313,-18.615,137.263,147,200,81,96,0,0,0
25532,75,0,88.0313,-18.615,137.263,287,97,40,46,0,0,0
25776,76,0,88.0313,-18.615,137.263,146,96,40,46,0,0,0
26097,77,0,88.0313,-18.615,137.263,146,174,54,100,0,0,0
26507,78,0,88.0313,-18.615,137.263,313,96,40,46,0,0,0
26750,79,0,88.0313,-18.615,137.263,145,97,40,46,0,0,0
27057,80,1,51.2605,-16.8118,79.5507,142,159,40,76,3,1,11
27494,81,1,41.1584,-17.0156,82.662,309,125,57,46,1,0,6
27747,82,1,28.1909,-16.6129,85.6574,143,105,40,46,1,0,3
28051,83,1,19.2031,-16.4174,86.9885,138,158,40,78,4,0,8
28494,84,1,6.30027,-17.0236,88.8744,317,121,56,46,2,0,3
28755,85,1,-5.13677,-16.2102,91.3057,144,110,40,47,2,0,6
29785,86,1,-18.0103,-17.7443,91.67,147,106,40,47,2,0,4
30139,87,1,-26.6413,-17.5367,92.6986,145,198,65,96,2,0,6
30540,88,1,-38.8246,-17.3325,93.1347,289,105,40,46,2,0,3
30797,89,1,-52.2732,-18.0787,90.3043,145,106,40,47,2,0,3
31161,90,1,-63.473,-10.3203,91.4079,142,215,73,101,1,0,4
31550,91,1,-74.0309,-16.9874,88.1788,277,105,40,46,2,0,3
31797,92,0,-74.0309,-16.9874,88.1788,143,97,40,47,0,0,0
32127,93,0,-74.0309,-16.9874,88.1788,142,186,66,98,0,0,0
32525,94,0,-74.0309,-16.9874,88.1788,300,98,41,46,0,0,0
32770,95,0,-74.0309,-16.9874,88.1788,147,96,40,46,0,0,0
33080,96,0,-74.0309,-16.9874,88.1788,148,161,40,101,0,0,0
33503,97,0,-74.0309,-16.9874,88.1788,324,96,40,46,0,0,0
33747,98,0,-74.0309,-16.9874,88.1788,147,96,40,46,0,0,0
34032,99,0,-74.0309,-16.9874,88.1788,149,136,40,75,0,0,0
34982,100,0,-74.0309,-16.9874,88.1788,149,109,40,45,0,0,0
35461,101,0,-74.0309,-16.9874,88.1788,328,150,87,53,0,0,0
35705,102,0,-74.0309,-16.9874,88.1788,147,96,40,46,0,0,0
35948,103,0,-74.0309,-16.9874,88.1788,147,95,40,45,0,0,0
36440,104,0,-74.0309,-16.9874,88.1788,320,171,85,76,0,0,0
36684,105,0,-74.0309,-16.9874,88.1788,146,96,40,46,0,0,0
36927,106,0,-74.0309,-16.9874,88.1788,146,97,40,46,0,0,0
37416,107,0,-74.0309,-16.9874,88.1788,292,195,84,101,0,0,0
37662,108,0,-74.0309,-16.9874,88.1788,149,97,40,46,0,0,0
37907,109,0,-74.0309,-16.9874,88.1788,147,97,40,46,0,0,0
38380,110,0,-74.0309,-16.9874,88.1788,266,206,83,100,0,0,0
38640,111,0,-74.0309,-16.9874,88.1788,162,96,40,46,0,0,0
38886,112,0,-74.0309,-16.9874,88.1788,150,96,39,46,0,0,0
39344,113,1,-118.367,-18.3191,179.141,236,214,81,100,1,5,4
39638,114,1,-106.936,-15.7439,181.775,176,106,40,46,1,0,5
39899,115,1,-94.7295,-16.3258,184.372,148,106,40,46,0,0,7
40390,116,1,-78.8829,-19.996,188.354,260,224,82,103,1,0,10
40658,117,1,-68.4022,-20.6544,189.527,159,105,39,46,1,0,6
40920,118,1,-50.2733,0.446856,194.613,148,108,40,46,1,0,7
41425,119,1,-47.1934,-20.5083,188.891,288,210,85,99,1,0,4
41684,120,1,-28.4988,-18.9621,189.979,149,103,39,47,1,0,3
41949,121,1,-25.4465,-5.43457,190.989,148,110,39,47,1,0,10
42458,122,1,-2.03466,-16.7025,189.724,310,192,91,77,1,0,8
42718,123,1,2.19024,-20.2571,189.928,147,105,40,47,1,0,4
42987,124,1,9.26794,-15.9864,189.333,146,112,40,46,1,0,8
43484,125,1,28.1838,18.1305,186.673,321,172,84,63,1,0,10
43740,126,1,34.8258,-20.3353,185.665,146,104,39,47,1,0,3
44029,127,1,44.7316,-16.4548,185.049,144,137,40,63,5,0,8
44494,128,1,56.6208,-15.0601,184.003,317,142,76,46,1,0,6
44756,129,1,69.1312,-17.6968,183.273,144,106,40,46,1,0,6
45070,130,1,91.437,-40.7136,169.836,145,162,40,78,4,0,13
45509,131,1,94.589,-13.726,180.281,317,116,52,46,1,0,5
45766,132,1,105.145,-15.9734,180.483,146,104,40,47,1,0,3
46077,133,0,105.145,-15.9734,180.483,148,157,40,92,0,0,0
46506,134,0,105.145,-15.9734,180.483,326,101,44,46,0,0,0
46750,135,0,105.145,-15.9734,180.483,148,96,40,45,0,0,0
47029,136,0,105.145,-15.9734,180.483,147,130,40,68,0,0,0
47483,137,0,105.145,-15.9734,180.483,321,132,75,46,0,0,0
47728,138,0,105.145,-15.9734,180.483,146,97,40,46,0,0,0
47978,139,0,105.145,-15.9734,180.483,148,101,40,46,0,0,0
48463,140,0,105.145,-15.9734,180.483,326,153,86,57,0,0,0
48709,141,0,105.145,-15.9734,180.483,149,96,40,46,0,0,0
48954,142,0,105.145,-15.9734,180.483,147,96,40,45,0,0,0
49446,143,0,105.145,-15.9734,180.483,318,174,85,78,0,0,0
49694,144,0,105.145,-15.9734,180.483,150,97,40,46,0,0,0
49946,145,0,105.145,-15.9734,180.483,151,97,40,46,0,0,0
50436,146,0,105.145,-15.9734,180.483,302,187,88,88,0,0,0
50681,147,0,105.145,-15.9734,180.483,147,97,40,46,0,0,0
50929,148,0,105.145,-15.9734,180.483,149,97,40,47,0,0,0
51422,149,0,105.145,-15.9734,180.483,283,207,86,101,0,0,0
51668,150,0,105.145,-15.9734,180.483,147,97,40,47,0,0,0
51912,151,0,105.145,-15.9734,180.483,147,97,40,46,0,0,0
52385,152,0,105.145,-15.9734,180.483,265,206,80,99,0,0,0
52648,153,0,105.145,-15.9734,180.483,166,96,39,46,0,0,0
52893,154,0,105.145,-15.9734,180.483,148,97,40,46,0,0,0
53336,155,0,105.145,-15.9734,180.483,236,202,81,101,0,0,0
53626,156,0,105.145,-15.9734,180.483,192,97,40,47,0,0,0
53872,157,0,105.145,-15.9734,180.483,148,97,41,46,0,0,0
54287,158,0,105.145,-15.9734,180.483,210,203,83,94,0,0,0
54610,159,0,105.145,-15.9734,180.483,224,97,40,46,0,0,0
54867,160,1,140.373,-19.9322,198.299,149,107,39,48,1,1,6
55307,161,1,135.018,-25.8244,201.588,202,227,83,98,5,0,13
55626,162,1,128.39,-20.9352,200.004,210,108,40,46,1,0,6
55888,163,1,120.978,-19.5122,202.549,147,107,40,47,1,0,6
56347,164,1,117.085,-16.7887,203.068,231,220,82,99,1,0,10
56639,165,1,112.884,-18.7529,203.925,186,104,40,46,0,0,3
56882,166,0,112.884,-18.7529,203.925,140,97,41,45,0,0,0
57331,167,1,99.5914,-21.6167,205.822,223,224,81,100,7,0,13
57639,168,1,89.1452,-18.114,209.315,193,108,41,46,1,0,7
58481,169,1,84.5179,-15.7195,210.382,148,104,40,46,0,0,3
58739,170,1,80.9521,-18.7979,210.697,149,103,39,47,1,0,3
59014,171,1,74.3449,-20.5901,212.917,145,123,39,47,3,0,7
59495,172,1,56.2881,-20.3804,219.778,316,160,89,50,1,0,6
59751,173,1,57.477,-15.687,218.713,146,104,40,46,1,0,3
60049,174,1,48.4821,-18.4083,220.465,146,143,40,63,5,0,14
60506,175,1,48.1795,-18.8415,220.612,313,139,76,46,0,0,3
60762,176,1,34.8359,-19.8557,223.243,146,103,40,46,0,0,3
61081,177,1,20.8002,-17.1076,225.735,150,162,40,74,1,0,18
61523,178,1,15.4726,-14.2827,226.971,320,118,55,46,0,0,4
61780,179,1,16.2575,-18.8127,227.085,143,107,40,46,0,0,7
62111,180,1,8.50352,-15.6473,228.51,148,173,40,94,3,0,10
62546,181,1,-10.5521,-17.1789,228.324,322,110,40,47,1,0,9
62803,182,1,-20.1634,-19.2116,228.456,145,104,40,46,1,1,3
63150,183,1,-21.4157,-25.0211,228.218,145,195,55,99,5,0,8
63562,184,1,-29.3937,-22.3184,229.349,301,105,40,46,1,0,4
63819,185,1,-36.5586,-21.3357,228.566,146,105,40,47,1,0,4
64182,186,1,-39.1664,-21.7512,228.447,145,209,72,100,1,1,8
64575,187,1,-42.2936,-21.857,227.819,282,104,40,46,1,0,4
64833,188,1,-55.1368,-14.0161,227.119,147,104,40,46,1,0,3
65220,189,1,-64.5337,-20.1023,224.152,155,224,82,99,5,0,15
65595,190,1,-65.8741,-19.5265,226.364,262,106,40,47,0,1,4
65855,191,1,-77.8155,-22.5974,223.287,148,105,40,47,1,0,3
66262,192,1,-85.4669,-16.8009,223.696,175,224,84,96,1,0,14
66612,193,1,-101.743,-15.5684,220.229,239,105,40,47,0,0,3
66872,194,1,-102.51,-20.0326,221.322,148,105,40,47,0,0,4
67308,195,1,-108.473,-18.0072,220.978,210,219,82,98,0,0,8
67635,196,1,-121.797,-16.499,216.913,215,106,40,46,1,0,6
67899,197,1,-125.528,-18.8514,215.623,150,106,39,47,0,0,6
68364,198,1,-127.715,-20.3875,216.071,239,219,78,102,0,1,8
68659,199,1,-132.16,-18.7085,218.887,184,106,40,46,0,1,5
68911,200,0,-132.16,-18.7085,218.887,148,97,39,47,0,0,0
69387,201,1,-151.629,-14.9087,210.239,243,229,82,96,0,0,15
69658,202,0,-151.629,-14.9087,210.239,173,96,40,45,0,0,0
69904,203,0,-151.629,-14.9087,210.239,148,96,40,46,0,0,0
70339,204,0,-151.629,-14.9087,210.239,234,201,80,103,0,0,0
70642,205,0,-151.629,-14.9087,210.239,199,96,39,47,0,0,0
70891,206,0,-151.629,-14.9087,210.239,149,98,40,47,0,0,0
71332,207,1,-172.241,-12.427,235.054,219,221,80,99,0,0,10
71637,208,0,-172.241,-12.427,235.054,204,96,40,46,0,0,0
71881,209,0,-172.241,-12.427,235.054,146,96,40,46,0,0,0
72283,210,0,-172.241,-12.427,235.054,200,198,82,95,0,0,0
72622,211,1,-163.46,-16.1565,260.108,233,104,40,47,1,0,4
72873,212,0,-163.46,-16.1565,260.108,147,96,40,46,0,0,0
73290,213,1,-140.208,-15.3102,268.778,197,220,85,94,0,0,8
73633,214,1,-127.685,-18.8267,272.701,227,107,40,46,0,0,6
73895,215,1,-123.053,-17.363,268.4,148,107,40,47,1,0,5
74339,216,1,-110.413,-21.7747,270.547,221,216,80,100,3,0,5
74645,217,0,-110.413,-21.7747,270.547,202,96,40,46,0,0,0
74899,218,1,-93.7826,-16.7969,273.242,148,105,40,47,1,0,4
75370,219,1,-94.2474,-18.676,269.368,233,229,80,101,1,0,16
75667,220,1,-68.0381,-17.7151,274.626,186,105,40,46,1,0,4
75930,221,1,-63.7279,-12.6818,272.702,148,108,40,47,0,0,6
76437,222,1,-26.442,-24.7478,278.56,271,228,85,105,1,0,9
76700,223,1,-45.2665,-18.0183,272.537,149,110,40,47,1,1,8
76960,224,1,-24.6887,-23.3418,273.561,146,107,40,47,0,0,6
77472,225,1,57.0226,-36.7238,269.453,307,198,86,90,0,0,6
77722,226,0,57.0226,-36.7238,269.453,148,96,39,46,0,0,0
77983,227,1,35.4897,-21.8268,278.483,148,111,40,47,0,0,8
78490,228,1,37.9227,-39.3743,276.333,327,173,87,67,0,1,3
78749,229,1,38.7344,-39.4237,277.565,147,106,40,47,1,0,4
79023,230,1,48.9094,-28.6376,276.727,146,121,41,47,1,0,4
79516,231,1,53.6655,-30.8177,275.375,328,158,87,52,1,0,4
79775,232,1,71.3306,-17.0581,273.527,147,104,40,46,0,0,3
80092,233,1,66.2213,-28.026,273.403,149,159,40,75,3,0,17
80544,234,1,82.8375,-32.2565,270.465,332,115,50,47,1,0,4
80808,235,1,93.7344,-36.2499,268.695,146,108,40,47,1,0,6
81156,236,1,85.4395,-48.47,280.209,147,193,47,101,1,1,13
81574,237,1,103.565,-32.4077,275.337,304,108,40,47,1,0,6
81823,238,0,103.565,-32.4077,275.337,145,96,40,46,0,0,0
82177,239,1,128.847,-32.4981,271.618,148,204,60,98,1,1,12
82588,240,1,140.529,-23.2593,272.375,294,109,40,47,1,0,7
82848,241,1,156.195,-29.1335,268.737,147,106,41,46,1,0,5
83236,242,1,166.048,-28.5618,268.902,161,219,83,97,0,0,8
83614,243,1,172.062,-28.1957,271.902,264,109,41,46,1,0,7
83866,244,0,172.062,-28.1957,271.902,148,97,40,47,0,0,0
84248,245,0,172.062,-28.1957,271.902,173,205,84,97,0,0,0
84606,246,0,172.062,-28.1957,271.902,260,97,40,47,0,0,0
84854,247,0,172.062,-28.1957,271.902,148,98,40,48,0,0,0
85224,248,0,172.062,-28.1957,271.902,164,205,81,101,0,0,0
85596,249,0,172.062,-28.1957,271.902,274,97,40,47,0,0,0
85847,250,0,172.062,-28.1957,271.902,150,97,40,46,0,0,0
86205,251,0,172.062,-28.1957,271.902,150,206,86,100,0,0,0
86589,252,0,172.062,-28.1957,271.902,285,97,40,47,0,0,0
86833,253,0,172.062,-28.1957,271.902,147,97,40,46,0,0,0
87167,254,0,172.062,-28.1957,271.902,146,187,65,103,0,0,0
87564,255,0,172.062,-28.1957,271.902,292,98,40,47,0,0,0
87823,256,1,174.877,-28.2022,301.752,148,109,40,47,1,0,7
88157,257,0,174.877,-28.2022,301.752,147,182,61,96,0,0,0
88578,258,1,153.211,-28.7833,300.768,311,108,40,47,0,1,7
88829,259,0,153.211,-28.7833,300.768,145,98,40,47,0,0,0
89191,260,1,141.099,-32.8975,298.201,150,206,62,99,1,0,13
89593,261,1,128.772,-36.376,298.687,291,109,40,47,0,0,8
89854,262,1,116.441,-36.6047,299.923,147,107,40,47,1,0,7
90253,263,1,102.115,-36.2671,300.095,163,227,80,98,1,0,16
90620,264,1,106.653,-70.1376,281.844,257,105,40,46,1,0,3
