t,frame,detected,x,y,z,t_grab,t_total,t_prepare,t_search,t_approx,t_refine,t_estimate
5672,87,1,-26.6413,-17.5367,92.6986,20,7,1,4,0,0,1
5734,88,1,-38.8246,-17.3325,93.1347,21,7,2,4,0,0,0
5789,89,1,-52.2732,-18.0787,90.3043,19,7,2,4,0,0,0
5846,90,1,-63.473,-10.3203,91.4079,22,8,1,6,0,0,1
5901,91,1,-74.0309,-16.9874,88.1788,19,7,2,5,0,0,0
5958,92,0,-74.0309,-16.9874,88.1788,19,8,2,5,0,0,0
6008,93,0,-74.0309,-16.9874,88.1788,15,8,2,5,0,0,0
6060,94,0,-74.0309,-16.9874,88.1788,16,7,2,4,0,0,0
6111,95,0,-74.0309,-16.9874,88.1788,17,7,2,5,0,0,0
6166,96,0,-74.0309,-16.9874,88.1788,20,7,2,5,0,0,0
6218,97,0,-74.0309,-16.9874,88.1788,17,6,1,5,0,0,0
6274,98,0,-74.0309,-16.9874,88.1788,20,7,2,5,0,0,0
6401,99,0,-74.0309,-16.9874,88.1788,22,10,3,6,0,0,0
6538,100,0,-74.0309,-16.9874,88.1788,19,7,2,5,0,0,0
6599,101,0,-74.0309,-16.9874,88.1788,18,9,3,6,0,0,0
6661,102,0,-74.0309,-16.9874,88.1788,20,9,3,5,0,0,0
6715,103,0,-74.0309,-16.9874,88.1788,18,7,2,4,0,0,0
6778,104,0,-74.0309,-16.9874,88.1788,20,9,3,5,0,0,0
6835,105,0,-74.0309,-16.9874,88.1788,20,9,1,7,0,0,0
6917,106,0,-74.0309,-16.9874,88.1788,17,8,2,5,0,0,0
6972,107,0,-74.0309,-16.9874,88.1788,18,8,2,6,0,0,0
7030,108,0,-74.0309,-16.9874,88.1788,20,7,2,4,0,0,0
7080,109,0,-74.0309,-16.9874,88.1788,17,6,1,5,0,0,0
7131,110,0,-74.0309,-16.9874,88.1788,19,6,1,5,0,0,0
7188,111,0,-74.0309,-16.9874,88.1788,20,7,2,5,0,0,0
7243,112,0,-74.0309,-16.9874,88.1788,20,7,2,5,0,0,0
7300,113,1,-118.367,-18.3191,179.141,19,7,2,4,0,0,0
