frame,detected,x,y,z,t_grab,t_total,t_prepare,t_search,t_approx,t_refine,t_estimate
94,1,-111.66,-111.66,-111.66,145,88,43,36,1,3,3
95,0,-111.66,-111.66,-111.66,146,72,43,27,0,0,0
96,0,-111.66,-111.66,-111.66,147,74,43,29,0,0,0
97,0,-111.66,-111.66,-111.66,149,71,43,26,0,0,0
98,0,-111.66,-111.66,-111.66,146,72,43,27,0,0,0
99,0,-111.66,-111.66,-111.66,148,77,43,32,0,0,0
100,0,-111.66,-111.66,-111.66,149,83,43,38,0,0,0
101,0,-111.66,-111.66,-111.66,147,72,43,27,0,0,0
102,0,-111.66,-111.66,-111.66,145,76,44,30,0,0,0
103,0,-111.66,-111.66,-111.66,147,70,43,25,0,0,0
104,1,-161.88,-161.88,-161.88,148,88,43,35,1,2,5
105,1,-160.931,-160.931,-160.931,145,93,43,39,1,2,6
106,0,-160.931,-160.931,-160.931,145,71,43,26,0,0,0
107,0,-160.931,-160.931,-160.931,148,94,44,48,0,0,0
108,0,-160.931,-160.931,-160.931,147,76,43,29,0,0,0
109,0,-160.931,-160.931,-160.931,146,86,43,41,0,0,0
110,0,-160.931,-160.931,-160.931,147,70,43,25,0,0,0
111,0,-160.931,-160.931,-160.931,147,70,43,25,0,0,0
112,1,-134.906,-134.906,-134.906,148,78,43,27,1,2,3
113,1,-126.138,-126.138,-126.138,144,79,43,27,1,2,4
114,1,-106.936,-106.936,-106.936,148,82,44,27,1,2,6
115,1,-94.7296,-94.7296,-94.7296,147,82,43,28,1,2,6
116,1,-78.8826,-78.8826,-78.8826,147,85,43,34,0,3,3
117,1,-68.4029,-68.4029,-68.4029,145,82,43,27,0,2,6
118,1,-50.2737,-50.2737,-50.2737,147,80,43,26,0,2,7
119,1,-47.1933,-47.1933,-47.1933,148,78,43,26,1,2,4
120,1,-28.4989,-28.4989,-28.4989,148,88,44,35,1,2,4
121,1,-25.4476,-25.4476,-25.4476,148,94,43,36,0,3,10
122,1,-2.03731,-2.03731,-2.03731,145,83,43,28,0,2,8
123,1,2.18978,2.18978,2.18978,147,82,43,30,1,2,4
124,1,9.26738,9.26738,9.26738,145,85,43,31,0,2,4
125,1,28.185,28.185,28.185,148,88,43,29,0,3,10
126,1,34.8255,34.8255,34.8255,147,78,43,26,1,2,4
127,1,44.7316,44.7316,44.7316,145,78,43,27,0,3,3
128,1,56.621,56.621,56.621,145,83,43,29,1,2,6
129,1,69.1316,69.1316,69.1316,144,80,43,27,0,2,6
130,1,91.4366,91.4366,91.4366,144,82,43,27,1,2,7
131,1,94.5893,94.5893,94.5893,144,78,43,26,1,2,4
132,1,105.145,105.145,105.145,146,77,43,26,0,3,3
133,0,105.145,105.145,105.145,147,75,43,30,0,0,0
134,1,126.633,126.633,126.633,147,78,43,26,1,3,3
135,0,126.633,126.633,126.633,147,74,43,29,0,0,0
136,0,126.633,126.633,126.633,147,73,43,28,0,0,0
137,0,126.633,126.633,126.633,143,70,43,25,0,0,0
138,1,161.905,161.905,161.905,146,81,44,25,1,3,6
139,0,161.905,161.905,161.905,147,70,43,25,0,0,0
140,0,161.905,161.905,161.905,148,72,43,27,0,0,0
141,0,161.905,161.905,161.905,148,71,43,25,0,0,0
142,0,161.905,161.905,161.905,146,70,43,25,0,0,0
143,0,161.905,161.905,161.905,148,75,43,30,0,0,0
144,0,161.905,161.905,161.905,150,76,43,30,0,0,0
145,1,205.999,205.999,205.999,150,84,43,29,1,2,7
146,0,205.999,205.999,205.999,147,70,43,25,0,0,0
147,0,205.999,205.999,205.999,147,70,43,25,0,0,0
148,1,202.949,202.949,202.949,149,87,43,33,0,3,6
149,1,198.733,198.733,198.733,149,79,43,25,0,3,6
150,0,198.733,198.733,198.733,146,73,43,28,0,0,0
151,0,198.733,198.733,198.733,147,70,43,25,0,0,0
152,0,198.733,198.733,198.733,148,76,43,31,0,0,0
153,0,198.733,198.733,198.733,145,73,43,28,0,0,0
154,0,198.733,198.733,198.733,146,72,44,26,0,0,0
155,0,198.733,198.733,198.733,146,71,43,25,0,0,0
156,0,198.733,198.733,198.733,146,72,44,26,0,0,0
157,0,198.733,198.733,198.733,148,72,43,27,0,0,0
158,0,198.733,198.733,198.733,147,74,43,29,0,0,0
159,0,198.733,198.733,198.733,149,74,43,29,0,0,0
160,1,140.374,140.374,140.374,146,81,43,26,1,2,7
161,1,132.356,132.356,132.356,143,81,43,25,1,4,6
162,1,128.388,128.388,128.388,147,81,43,26,1,3,6
163,1,120.977,120.977,120.977,148,82,43,27,1,3,5
164,1,117.085,117.085,117.085,144,79,43,28,0,2,4
165,1,112.884,112.884,112.884,143,77,43,25,0,3,3
166,0,112.884,112.884,112.884,139,71,44,25,0,0,0
167,1,99.5905,99.5905,99.5905,148,80,43,25,0,3,6
168,1,89.144,89.144,89.144,146,83,43,29,0,3,6
169,1,84.5177,84.5177,84.5177,147,78,43,26,1,3,3
170,1,80.9524,80.9524,80.9524,148,77,43,26,1,2,3
171,1,74.343,74.343,74.343,144,80,43,29,0,3,3
172,1,56.2883,56.2883,56.2883,145,79,43,25,1,2,6
173,1,57.4763,57.4763,57.4763,145,77,43,26,1,2,3
174,1,48.4828,48.4828,48.4828,146,81,43,28,0,3,5
175,1,48.1794,48.1794,48.1794,142,78,43,27,0,2,2
176,1,34.8398,34.8398,34.8398,145,78,43,27,1,2,3
177,1,20.7974,20.7974,20.7974,148,81,43,27,0,3,6
178,1,15.4737,15.4737,15.4737,144,79,43,27,1,2,3
179,1,16.2511,16.2511,16.2511,142,80,42,26,0,3,7
180,1,8.50809,8.50809,8.50809,149,79,43,26,0,2,6
181,1,-10.5513,-10.5513,-10.5513,147,88,44,29,1,2,10
182,1,-20.1632,-20.1632,-20.1632,145,83,43,31,0,2,4
183,1,-21.4166,-21.4166,-21.4166,144,81,44,28,0,3,4
184,1,-29.3988,-29.3988,-29.3988,148,82,43,30,1,2,4
185,1,-36.5636,-36.5636,-36.5636,146,87,43,36,0,2,4
186,1,-39.1689,-39.1689,-39.1689,144,81,43,29,0,3,4
187,1,-42.2915,-42.2915,-42.2915,147,84,43,33,0,3,3
188,1,-55.1352,-55.1352,-55.1352,147,79,43,27,0,2,4
189,1,-64.5322,-64.5322,-64.5322,147,83,43,29,0,2,7
190,1,-65.875,-65.875,-65.875,146,80,43,27,1,2,5
191,1,-77.8155,-77.8155,-77.8155,147,84,44,32,1,2,3
192,1,-85.4667,-85.4667,-85.4667,144,80,43,26,1,2,6
193,1,-101.742,-101.742,-101.742,148,79,43,28,0,3,3
194,1,-102.509,-102.509,-102.509,148,78,43,27,0,3,3
195,1,-108.476,-108.476,-108.476,148,82,45,29,0,2,4
196,1,-121.797,-121.797,-121.797,147,80,43,26,0,3,6
197,1,-125.529,-125.529,-125.529,149,84,43,30,1,3,5
198,1,-127.716,-127.716,-127.716,146,88,43,37,0,3,3
199,1,-132.16,-132.16,-132.16,148,81,43,27,1,2,6
200,0,-132.16,-132.16,-132.16,148,71,44,25,0,0,0
201,0,-132.16,-132.16,-132.16,149,75,43,30,0,0,0
202,0,-132.16,-132.16,-132.16,148,71,43,26,0,0,0
203,0,-132.16,-132.16,-132.16,148,76,43,30,0,0,0
204,0,-132.16,-132.16,-132.16,148,84,43,39,0,0,0
205,1,-164.894,-164.894,-164.894,147,84,43,30,1,2,6
206,1,-167.266,-167.266,-167.266,150,80,43,27,1,3,4
207,1,-172.238,-172.238,-172.238,148,88,43,35,1,3,4
208,0,-172.238,-172.238,-172.238,145,71,43,26,0,0,0
209,1,-186.128,-186.128,-186.128,146,82,43,30,0,3,4
210,0,-186.128,-186.128,-186.128,146,71,43,26,0,0,0
211,0,-186.128,-186.128,-186.128,147,71,43,26,0,0,0
212,0,-186.128,-186.128,-186.128,150,73,43,28,0,0,0
213,1,-140.208,-140.208,-140.208,150,83,43,31,0,3,4
214,1,-127.68,-127.68,-127.68,147,85,43,30,1,3,6
